,index,appTitle,userName,date,score,Sentiment,Constructive,text,category,appTitle_lower,text_org,contentRating,Review Length,month
13,27063,Kahoot!,Katrina Evans,23-Feb-19,3,0,5,i can not login,EDUCATION,kahoot!,i can not login,Everyone,15,3
14,674171,ClassDojo,A Google User,14-Oct-18,3,1,4,This app never lets me add games,EDUCATION,classdojo,This app never let's me add games,Everyone,32,4
15,2043591,,GAMESTER 2.0,13-Apr-19,4,2,3,helps on solving some questions,EDUCATION,,helps on solving some questions,,31,5
16,668549,ClassDojo,A Google User,4-Dec-18,4,2,4,Great classroom management tool,EDUCATION,classdojo,Great classroom management tool!,Everyone,31,4
17,671952,Kahoot!,A Google User,23-Nov-18,4,3,3,I love your app such as all of the tests there amazing but I thought I would play it more than i do,EDUCATION,kahoot!,I love your app such as all of the tests there amazing but I thought I would play it more than i do,Everyone,99,4
18,3862,Duolingo: Learn Languages Free,Blanca Cruz,5-Mar-19,4,2,3,Good app I like it because Im learning English,EDUCATION,duolingo: learn languages free,"Good app, I like it because I'm learning English.",Everyone,46,3
19,2039859,,Ken L,18-Mar-19,4,2,3,I like it very useful,EDUCATION,,I like it very useful,,21,5
20,2396887,Quizlet: Learn Languages & Vocab with Flashcards,Mark John Tiempo,1-May-19,5,4,2,very good tool for learning language,EDUCATION,quizlet: learn languages & vocab with flashcards,very good tool for learning language,Everyone,36,5
21,706231,Photomath,A Google User,25-Mar-19,5,4,3,Its very helpful,EDUCATION,photomath,Its very helpful.,Everyone,16,4
22,1700439,Duolingo: Learn Languages Free,Shanize Forte,21-Apr-19,5,4,2,DUOLINGO IS AMAZING SO GRATEFUL,EDUCATION,duolingo: learn languages free,DUOLINGO IS AMAZING!!!!!! SO GRATEFUL!!!!,Everyone,31,4
23,2069011,,A Google User,28-Mar-19,5,4,5,It really helps It doesnt just give you answers It gives you an animated walkthrough of all the steps you have to do and I find it very good,EDUCATION,,"It really helps. It doesn't just give you answers, It gives you an animated walkthrough of all the steps you have to do and I find it very good.",,140,5
24,2050624,,Mayrick Tew,2-Apr-19,5,4,3,the best app ever,EDUCATION,,the best app ever,,17,5
25,2190688,,Cody Walker,2-Apr-19,1,-5,5,Scam Fing thieves When youre done you cant file until you upgrade to deluxe then its also an extra 40 to efile Literal pieces of s running this company,FINANCE,,"Scam. F%$#ing thieves. When you're done you can't file until you upgrade to deluxe, then it's also an extra $40 to efile. Literal pieces of s#!+ running this company.",,151,5
26,2194325,,JEK Cl,4-Sep-18,1,-4,7,Someone tried to transfer money to me with Zelle the confirmation email was not sent to my gmail until almost 15 hours later when I was attempting to register an account I still cant register because the registration email has not been SENT after 5 attempts and now this app says my account is locked Do not trust Zelle Google Zelle before you use this terrible service There is no fraud protection or guarantee with Zelle if a transfer doesnt go through The senders bank will not protect them from lost money during a failed transaction because the sender did authorize Zelle to take their money  Up to 7 days to receive money if successful 15 days minimum for sender to be refunded if transaction fails,FINANCE,,"Someone tried to transfer money to me with Zelle, the confirmation email was not sent to my gmail until almost 15 hours later when I was attempting to register an account. I still can't register because the registration email has not been SENT after 5 attempts and now this app says my account is locked. Do not trust Zelle! Google Zelle before you use this terrible service. There is no fraud protection or guarantee with Zelle if a transfer doesn't go through. The sender's bank will not protect them from 'lost' money during a failed transaction because the sender did authorize Zelle to take their money.  Up to 7 days to receive money if successful. 15 days minimum for sender to be refunded if transaction fails.",,704,5
27,73370,Zelle,Grady Smith,29-Jun-18,1,-5,8,"dont use this trash app keeps saying my phone number doesnt match the 
phone number listed with my cards account but I checked and they do match 
so useless",FINANCE,zelle,"dont use this trash app. keeps saying my phone number doesn't match the 
phone number listed with my cards account but I checked and they do match. 
so useless.",Everyone,156,3
28,65376,Zelle,Matt Carter,20-Jan-19,1,-4,4,Hasnt worked in 6 weeks after verifying my account etc Finally just Uninstalled Paid buddy faster using PayPal just now than it took to update Zelle only to be told Try again later Again Nah you try again later,FINANCE,zelle,"Hasn't worked in 6 weeks after verifying my account etc. Finally just Uninstalled. Paid buddy faster using PayPal just now than it took to update Zelle only to be told ""Try again later"" Again. Nah, you try again later.",Everyone,210,3
29,54500,Cash App,Shazman Rajah,3-Jan-19,1,-4,8,I did cash out for my payment and it has been a week I havent gotten my money back Tried to contact Customer Service but they didnt reply me back as well I am super aggravted abd annoyed Poor customer service Scam Dont use it,FINANCE,cash app,I did cash out for my payment and it has been a week. I haven't gotten my money back. Tried to contact Customer Service but they didn't reply me back as well. I am super aggravted abd annoyed. Poor customer service. Scam!!! Don't use it.,Everyone,225,3
30,2175361,,Kyle Enzweiler,14-Mar-19,2,-3,7,it feels like a really slow web browser instead of an app,FINANCE,,it feels like a really slow web browser instead of an app.,,57,5
31,56232,PayPal Mobile Cash: Send and Request Money Fast,Plasma Dabs,5-Mar-19,2,-3,9,With the intersectional ideology of Silicon Valley at the heart of the company the disallowance of Bancorp Bank accounts to link thus forcing you to pay a fee this works with Venmo however the flagging of VPN users by locking down their account not permanently unless your seller takes too long to respond to PayPal in which case youre SOL and the refusal to integrate with SubscribeStar a payment processing service possibly a sign of collusion between Patreon and Paypal ha nice job,FINANCE,paypal mobile cash: send and request money fast,"With the intersectional ideology of Silicon Valley at the heart of the company, the disallowance of Bancorp Bank accounts to link, thus forcing you to pay a fee (this works with Venmo, however), the flagging of VPN users by locking down their account (not permanently, unless your seller takes too long to respond to PayPal, in which case you're SOL) and the refusal to integrate with SubscribeStar, a payment processing service, possibly a sign of collusion between Patreon and Paypal, ha nice job.",Everyone,484,3
32,67382,Fresh EBT - Food Stamp Balance,Jessica Swift,27-Feb-19,2,-2,10,i like the app but am not liking the constant updating or logging in for the letter captcha every time i open the app,FINANCE,fresh ebt - food stamp balance,i like the app but am not liking the constant updating or logging in for the letter captcha every time i open the app.,Everyone,117,3
33,823121,Chase Mobile,Veronica Alfaro,26-Mar-19,2,-2,5,Fingerprint sign in doesnt work Please fix,FINANCE,chase mobile,Fingerprint sign in doesn't work!!! Please fix.,Everyone,42,4
34,2195970,,troy olson,24-Apr-19,2,-2,6,need update for android Q force close what data is this app caching and sending miss use of data easy 5 star if chase actually fixed data collection and had a decent checking and savings,FINANCE,,"need update for android Q, force close. what data is this app caching and sending? miss use of data! easy 5 star if chase actually fixed data collection and had a decent checking and savings.",,186,5
35,793923,Bank of America Mobile Banking,Maxine Roberts,24-Mar-19,3,-1,2,I just dont feel the wow factor yet but this is a great app,FINANCE,bank of america mobile banking,I just don't feel the wow factor yet but this is a great app,Everyone,59,4
36,2175884,,A Google User,24-Mar-19,3,1,5,can u use a direct express card,FINANCE,,can u use a direct express card?,,31,5
37,2176891,,Sara Schraeter-Mowers,28-Mar-19,3,0,6,Its great when it works I am constantly being told that I dont have an internet connection and cant use the app Very frustrating,FINANCE,,It's great when it works. I am constantly being told that I don't have an internet connection and can't use the app. Very frustrating.,,128,5
38,1822916,Bank of America Mobile Banking,Maria Steele,19-Apr-19,3,-1,5,cant open free site spp,FINANCE,bank of america mobile banking,can't open free site spp,Everyone,23,4
39,2163699,,virginia tillette,16-Apr-19,3,-1,6,Its slow its very slow,FINANCE,,"It's slow, it's very slow",,22,5
40,59129,Credit Karma,Denise Foster,22-Feb-19,4,2,1,helps keep me on my toes thank you,FINANCE,credit karma,helps keep me on my toes. thank you,Everyone,34,3
41,488098,Chase Mobile,David Noll,16-Mar-19,4,3,10,This app has been greatly improved Thank you Chase The deposit by phone feature now works quite well incorporating the light from the phone and even an automated camera that once you put the check within the on screen indicated area autofocuses and takes a picture of the check Well done software development people  update 3152019 with the latest update the deposit check by phone function is even better Works really well Thank you Chase,FINANCE,chase mobile,"This app has been greatly improved. Thank you Chase! The deposit by phone feature now works quite well, incorporating the light from the phone and even an automated camera that, once you put the check within the on screen indicated area, auto-focuses and takes a picture of the check. We'll done software development people!! :) update 3-15-2019 with the latest update the deposit check by phone function is even better. Works really well. Thank you Chase!",Everyone,439,3
42,1488389,Credit Karma,Lynette Mcmahon,9-Apr-19,4,3,0,i find that the app is good to have and it helps to keep on top of your credit score,FINANCE,credit karma,i find that the app is good to have and it helps to keep on top of your credit score,Everyone,84,4
43,796228,Bank of America Mobile Banking,Diana Arce,29-Mar-19,4,2,4,I have to compare this app with another bank app that I use  I rarely have any issues or with it crashing I would like to see the online chat option available more often It is very convenient since I work during the day  easier to contact a representative online vs the phone which has longer wait times,FINANCE,bank of america mobile banking,I have to compare this app with another bank app that I use & I rarely have any issues or with it crashing. I would like to see the online chat option available more often. It is very convenient since I work during the day & easier to contact a representative online vs the phone which has longer wait times.,Everyone,303,4
44,2182839,,mahtable,26-Apr-19,4,3,2,just shy of 20 years with PayPal they have been efficient and fair for the most part PayPal has saved my ass more than it has hindered it the mobile app is effective,FINANCE,,just shy of 20 years with PayPal. they have been efficient and fair... for the most part. PayPal has saved my ass more than it has hindered it. the mobile app is effective.,,165,5
45,1835958,PayPal Mobile Cash: Send and Request Money Fast,Our Futures Past,16-Apr-19,5,4,2,just makes life a little easier,FINANCE,paypal mobile cash: send and request money fast,just makes life a little easier,Everyone,31,4
46,63031,IRS2Go,santosh tatepalli,15-Feb-18,5,5,3,It worked for meEnter your FED returns,FINANCE,irs2go,It worked for me.Enter your FED returns,Everyone,38,3
47,486453,Bank of America Mobile Banking,,22-Mar-19,5,4,1,very convenient love it,FINANCE,bank of america mobile banking,"very convenient, love it!",Everyone,23,3
48,824057,Fresh EBT - Food Stamp Balance,A Google User,17-Mar-19,5,5,0,like it it alright,FINANCE,fresh ebt - food stamp balance,like it it alright,Everyone,18,4
49,2197212,,Pamela Sellers,10-Apr-19,5,4,0,its helpful to keep up with my balance,FINANCE,,its helpful to keep up with my balance,,38,5
50,1867075,Sniper 3D Gun Shooter: Free Elite Shooting Games,A Google User,19-Apr-19,1,-4,7,Since latest update the connection keeps dropping out Also am firing at targets in the arena and making no damage whatsoever I am still being hit though This ruining the game for me and causing me to drop down the rankings,GAME_ACTION,sniper 3d gun shooter: free elite shooting games,"Since latest update the connection keeps dropping out. Also am firing at targets in the arena and making no damage whatsoever, I am still being hit though. This ruining the game for me and causing me to drop down the rankings.",Mature 17+,222,4
51,865640,Tomb of the Mask,Tyler Birdboy,31-Mar-19,1,-5,10,This used to be a pretty decent game Quick simple fun Now its full to the brim with a ton of ads some that are 45 seconds long and are unskippable It made what was a game where you could play two levels in about 2 mins to where there a minimum amount of 5 mins just so you can play two levels Doesnt help if you die you must sit through an ad and lose energy which you need to play and once you lose your energy you are no longer able to play for awhile,GAME_ACTION,tomb of the mask,"This used to be a pretty decent game. Quick, simple, fun. Now its full to the brim with a ton of ads, some that are 45 seconds long and are unskippable. It made what was a game where you could play two levels in about 2 mins to where there a minimum amount of 5 mins just so you can play two levels. Doesn't help if you die you must sit through an ad, and lose energy which you need to play and once you lose your energy you are no longer able to play for awhile.",Everyone,453,4
52,1521374,Bowmasters,Sean Falta,14-Apr-19,1,-4,6,worst ad problem in any game ive played,GAME_ACTION,bowmasters,worst ad problem in any game ive played,Teen,39,4
53,859957,PUBG MOBILE,Beastboy Pranay,1-Apr-19,1,-5,5,dont like the app lags all time,GAME_ACTION,pubg mobile,don't like the app lags all time,Teen,31,4
54,2547393,Bowmasters,A Google User,8-May-19,1,-5,3,went is the update coming,GAME_ACTION,bowmasters,went is the update coming,Teen,25,5
55,857518,PUBG MOBILE,mohd soban hussain,1-Apr-19,2,-2,8,I think there is a problem with graphics and in game chats they are getting back to default as i open the game every single time Every time it is showing me the notification of graphics set on medium according to my phone and i have it on notched it comes back to default Plz fix this although fav game thanks,GAME_ACTION,pubg mobile,"I think there is a problem with graphics and in game chats, they are getting back to default as i open the game every single time. Every time it is showing me the notification of graphics set on medium according to my phone and i have it on notched it comes back to default.... Plz fix this although fav game thanks",Teen,309,4
56,876742,Tomb of the Mask,Colton Mitchell,27-Mar-19,2,-3,5,hundreds of levels that you have to watch an ad to get to the game is fun when youre not watching ads it gives you the option to watch an ad to open a chest at the end of a level and if you choose not to youre still stuck watching an ad want to replay the level you just lost you can watch an ad to continue or you can watch an ad to restart the level want to open the game watch an ad and then see a banner ad at the bottom of the screen to be honest though this game is fun,GAME_ACTION,tomb of the mask,"hundreds of levels! that you have to watch an ad to get to... the game is fun! when you're not watching ads. it gives you the option to watch an ad to open a chest at the end of a level, and if you choose not to, you're still stuck watching an ad. want to replay the level you just lost? you can watch an ad to continue or you can watch an ad to restart the level. want to open the game? watch an ad and then see a banner ad at the bottom of the screen. to be honest, though, this game is fun.",Everyone,475,4
57,1901796,Kick the Buddy,Jaroslaw Ostrowski,18-Apr-19,2,-3,0,only thing good about it is the torture rest is gay,GAME_ACTION,kick the buddy,only thing good about it is the torture rest is gay,Teen,51,4
58,844874,Helix Jump,James Pond,27-Mar-19,2,-2,5,The game is a nice time killer However with most other games by Voodo the game is littered with ads and runs poorly I understand the ad part you need to make money off the game somehow but theres no need to chug ads down the users throat,GAME_ACTION,helix jump,"The game is a nice time killer. However with most other games by Voodo, the game is littered with ads, and runs poorly. I understand the ad part, you need to make money off the game somehow, but there's no need to chug ads down the users throat.",Everyone,237,4
59,1888896,Bowmasters,Christina G,18-Apr-19,2,-3,6,Initially this app was pretty fun but for the past 2 weeks it kept crashing and every character that I paid for is gone I dont see any options to get it back so I will never download this app again,GAME_ACTION,bowmasters,Initially this app was pretty fun but for the past 2 weeks it kept crashing and every character that I paid for is gone. I dont see any options to get it back so I will never download this app again,Teen,197,4
60,2233890,,Mohua Islam,28-Apr-19,3,1,0,nice game ,GAME_ACTION,,nice game 👌,,10,5
61,861972,Battle Royale: FPS Shooter,A Google User,17-Mar-19,3,1,1,Its hard but funner then doing nothing,GAME_ACTION,battle royale: fps shooter,It's hard but funner then doing nothing,Teen,38,4
62,2580613,Bowmasters,Thad O'Neal,8-May-19,3,1,0,good game if you removed ads people would play more though,GAME_ACTION,bowmasters,good game. if you removed ads people would play more though.,Teen,58,5
63,95091,slither.io,Girish Chadee,16-Feb-19,3,1,5,you cant play online  but I still like it ,GAME_ACTION,slither.io,you can't play online ... but I still like it 😉😈,Everyone,42,3
64,2221225,,Marques Dillard,13-Apr-19,3,0,6,I dont know how to shoot the guns or hit with weapons like bats,GAME_ACTION,,I don't know how to shoot the guns or hit with weapons like bats,,63,5
65,868047,Helix Jump,A Google User,31-Mar-19,4,3,8,this game is awsome but level 9 is kinda hard every 6 levels you get a level that is super easy,GAME_ACTION,helix jump,this game is awsome but... level 9 is kinda hard every 6 levels you get a level that is super easy.,Everyone,95,4
66,2568341,Bowmasters,AlejandroHa9 OMG,6-May-19,4,2,0,wow this game is so cool,GAME_ACTION,bowmasters,wow this game is so cool,Teen,24,5
67,2243901,,FusionMix,27-Apr-19,4,2,2,Good game to pass time,GAME_ACTION,,Good game to pass time,,22,5
68,1518062,Tomb of the Mask,Jennifer Blackwell,14-Apr-19,4,3,0,its a good game,GAME_ACTION,tomb of the mask,it's a good game,Everyone,15,4
69,87254,Bowmasters,,2-Mar-19,4,2,1,this game is rilly cool,GAME_ACTION,bowmasters,this game is rilly cool,Teen,23,3
70,1524316,Kick the Buddy,Kimberly Smith,14-Apr-19,5,5,2,i like yore game,GAME_ACTION,kick the buddy,i like yore game,Teen,16,4
71,2553900,slither.io,Maritza Andersen,28-Apr-19,5,5,2,It is the best game in the world,GAME_ACTION,slither.io,It is the best game in the world,Everyone,32,5
72,2220353,,Mehul Nagar,1-May-19,5,4,1,it is a very ossom game we all play it with friends we have to enjoy  fun etc,GAME_ACTION,,"it is a very ossom game we all play it with friends we have to enjoy , fun ,etc.",,77,5
73,99480,Helix Jump,,4-Mar-19,5,5,1,super nice game thanx for helix jump,GAME_ACTION,helix jump,super nice game thanx for helix jump,Everyone,36,3
74,1198507,Snowball.io,Savage Mexican,6-Apr-19,5,4,5,this game is great i play it on my free time and the best part is the amazing skins,GAME_ACTION,snowball.io,this game is great i play it on my free time and the best part is the amazing skins!!:),Everyone,83,4
75,624516,Spotify - Music and Podcasts,,22-Mar-19,1,-5,4,cause you keep adding songs that i did not request,MUSIC_AND_AUDIO,spotify - music and podcasts,cause you keep adding songs that i did not request,Teen,50,3
76,2357240,,Ankur Shukla,29-Apr-19,1,-4,8,the setup process is really buggyafter connecting to amazonxx wifi app does not show continue button really slow loading of pages,MUSIC_AND_AUDIO,,"the setup process is really buggy;after connecting to amazon-xxx wifi, app does not show continue button. really slow loading of pages",,129,5
77,1670272,Pandora - Streaming Music & Podcasts,Krystal Carter,9-Apr-19,1,-5,7,fix your app this thing all of a sudden opens and starts playing on its own all day everyday at work while Im asleep in class etc uninstalling,MUSIC_AND_AUDIO,pandora - streaming music & podcasts,"fix your app, this thing all of a sudden opens and starts playing on it's own all day everyday ,at work, while I'm asleep, in class etc.... uninstalling",Teen,142,4
78,146754,Free Music Player – Online & Offline MP3 Player,,13-Feb-19,1,-5,2,these dumbasses cant even help me with what is need,MUSIC_AND_AUDIO,free music player – online & offline mp3 player,these dumbasses can't even help me with what is need,Teen,51,3
79,166884,YouTube Music - Stream Songs & Music Videos,Michael Michailov,1-Feb-19,1,-4,2,                                                   downloaded   UPD             ,MUSIC_AND_AUDIO,youtube music - stream songs & music videos,"Сервис ""на сдачу"" с ютуб премиума Рекомендации - просто мусор. Так и не смог их заставить работать. Приложение - что-то с чем-то. Поставил на паузу - оно выгружается из памяти. Едешь в лифте и потерял соединение - оно не появится. На айосе так вообще, нужен интернет чтобы попасть на экран с downloaded песнями, лол UPD: в поездке удалил все песни кеша. Класс. Разрабы, у вас там нормально все?",Teen,80,3
80,2370266,,BATTLEWOLF578 GAMING,7-Mar-19,2,-2,7,loved the app for a while but now I cant listen to more than 45 songs before the app pauses my music we pay money for your service Fix It or you will see your customer base dwindle in size,MUSIC_AND_AUDIO,,loved the app for a while but now I cant listen to more than 4-5 songs before the app pauses my music... we pay money for your service. Fix It or you will see your customer base dwindle in size,,188,5
81,2331839,,Nicole Davis,28-Mar-19,2,-3,7,update app  opened app and it only shows white screen  reinstalled but same thing,MUSIC_AND_AUDIO,,"update app , opened app and it only shows white screen . reinstalled but same thing",,81,5
82,655128,YouTube Music - Stream Songs & Music Videos,Ashu kumar,20-Mar-19,2,-2,8,it is very wonderfull app even i thought that the YouTube must make a app like that but only one problem in this  that i only play the songs in screen off only in free trial period it must be the forever free  otherwise it will get worse pleas reply for it,MUSIC_AND_AUDIO,youtube music - stream songs & music videos,"it is very wonderfull app even i thought that the YouTube must make a app like that but only one problem in this , that i only play the songs in screen off only in free trial period it must be the forever free , otherwise it will get worse pleas reply for it",Teen,256,3
83,2674853,Spotify - Music and Podcasts,Richard Santos,9-May-19,2,-3,10,Whats the sense of having a vast variety of music when you cant even listen to it The music keeps randomly stopping imagine going to the gym and playing ur music for motivation n just when ur about to workout the music just stops this is the case while driving etc its as annoying as a skipping cd 1st started I figured they were having problems n I would wait for the next update 2 B fixed well here I am three updates later n almost a month n still exist GET IT TOGETHER,MUSIC_AND_AUDIO,spotify - music and podcasts,"""What's the sense of having a vast variety of music, when you can't even listen to it""!? The music keeps randomly stopping, imagine going to the gym and playing ur music for motivation n just when ur about to workout the music just stops, this is the case while driving etc... its as annoying as a skipping cd. 1st started, I figured they were having problems n I would wait for the next update 2 B fixed, well here I am three updates later n almost a month n still exist, GET IT TOGETHER!",Teen,472,5
84,136595,YouTube Music - Stream Songs & Music Videos,,2-Feb-19,2,-3,9,overall a good app a few UX user experience issues prevent me from saying its a 5 star app while browsing through the app anytime I click a playlist or album pressing the back arrow doesnt return me too where I was browsing the moment before No it takes me to the top of the list everytime its so jarring everytime I preview something  i have to scroll back to the last location everytime i hit back Its not a fluid experience,MUSIC_AND_AUDIO,youtube music - stream songs & music videos,"overall a good app, a few UX (user experience) issues prevent me from saying its a 5 star app. while browsing through the app, anytime I click a playlist or album. pressing the ""back"" arrow doesnt return me too where I was browsing the moment before. No, it takes me to the top of the list everytime. its so jarring everytime I preview something , i have to scroll back to the last location everytime i hit back. Its not a fluid experience.",Teen,426,3
85,2000256,Amazon Music,Santanu Mukherjee,16-Apr-19,3,1,8,Most of the songs not available here Specially i cant find my some favorite songs Some time alexa unable to find it Not satisfied,MUSIC_AND_AUDIO,amazon music,Most of the songs not available here. Specially i can't find my some favorite songs. Some time alexa unable to find it. Not satisfied..,Teen,129,4
86,997438,Apple Music,panda girl lol,30-Mar-19,3,0,2,i dont really like it that much becaue it cost money and im not bout dat money life,MUSIC_AND_AUDIO,apple music,i dont really like it that much becaue it cost money and im not bout dat money life!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Teen,83,4
87,2369988,,BethAnn Mayberry,18-Apr-19,3,0,10,Im not 100 sure where to rank this I  Alexa to the point that we have an Echo or Fire TV or Alexaenabled device Lenovo in almost every room She is funny  practical But the app STRUGGLES yall Its not super intuitive or user friendly which means my older notsotechsavvy parents have to get me or my sybs to do anything on it It also has a tendency to crash So Id probably give the device 4 or even 5 stars but the app alone 1 or 2 Hence the 3 star rough average ,MUSIC_AND_AUDIO,,"I'm not 100% sure where to rank this. I 💜 Alexa, to the point that we have an Echo (or Fire TV or Alexa-enabled device (Lenovo)) in almost every room. ""She"" is funny & practical. But the app... STRUGGLES, y'all! It's not super intuitive or user friendly which means my older, not-so-tech-savvy, parents have to get me or my sybs to do anything on it. It also has a tendency to crash. So I'd probably give the device 4, or even 5, stars but the app alone 1 or 2. Hence, the 3 star rough average? 😕",,460,5
88,1680146,Amazon Music,Joe-Angel Cruz,9-Apr-19,3,0,7,Good selection but songs disappear without notification wouldbe great to have a select function to delete songs that are no longer availiable or wanted,MUSIC_AND_AUDIO,amazon music,Good selection but songs disappear without notification wouldbe great to have a select function to delete songs that are no longer availiable or wanted.,Teen,151,4
89,130044,Free Music Player – Online & Offline MP3 Player,Vanessa Santana,2-Mar-19,3,0,5,this has ALOT of adds but its ok,MUSIC_AND_AUDIO,free music player – online & offline mp3 player,this has ALOT of adds but its ok,Teen,32,3
90,623326,Spotify - Music and Podcasts,Corina Almagro,24-Mar-19,4,2,4,all the commercials pushing for the premium version drive me crazy i dont want the premium version but overall goo app,MUSIC_AND_AUDIO,spotify - music and podcasts,all the commercials pushing for the premium version drive me crazy (i don't want the premium version!) but overall goo app,Teen,118,3
91,2713673,Amazon Music,Tina Anker,5-May-19,4,2,4,Dont like that you have to pay for unlimited even though you pay yearly for prime,MUSIC_AND_AUDIO,amazon music,Don't like that you have to pay for unlimited even though you pay yearly for prime!,Teen,81,5
92,135327,Amazon Music,Anthony Jones,4-Mar-19,4,3,6,problems setting up storage area and occasionally crashes or runs very slow overall ok but for the monthly fee id expect something a little more polished and with more functionality,MUSIC_AND_AUDIO,amazon music,"problems setting up storage area and occasionally crashes or runs very slow, overall ok but for the monthly fee id expect something a little more polished and with more functionality",Teen,181,3
93,1996832,Spotify - Music and Podcasts,Judymaree Brown,21-Apr-19,4,2,2,great daily list to play,MUSIC_AND_AUDIO,spotify - music and podcasts,great daily list to play,Teen,24,4
94,2680772,Spotify - Music and Podcasts,Cindy Maillet,7-May-19,4,3,2,So much to choose from and all my favs,MUSIC_AND_AUDIO,spotify - music and podcasts,So much to choose from and all my favs.,Teen,38,5
95,2342623,,Reymundo López,29-Apr-19,5,4,1,Very good app awesome  thanks,MUSIC_AND_AUDIO,,"Very good app, awesome 👍 thanks",,29,5
96,2346473,,Stan SS,14-Apr-19,5,5,4,i can listen to the variety of music that I like,MUSIC_AND_AUDIO,,i can listen to the variety of music that I like.,,48,5
97,2361337,,tiffany murphy,22-Apr-19,5,4,3,really fun when ur bored ,MUSIC_AND_AUDIO,,really fun when ur bored 😂,,25,5
